"","EBV__0dpi__HD1","EBV__2dpi__HD1","EBV-Lin__2dpi__HD1","hiEBV__2dpi__HD1","hiEBV-Lin__2dpi__HD1","CPG__2dpi__HD1","CPG-Lin__2dpi__HD1","BCR__2dpi__HD1","BCR-Lin__2dpi__HD1","EBV__0dpi__HD2","EBV__2dpi__HD2","EBV-Lin__2dpi__HD2","hiEBV__2dpi__HD2","CPG__2dpi__HD2","CPG-Lin__2dpi__HD2","BCR__2dpi__HD2","BCR-Lin__2dpi__HD2","EBV__0dpi__HD3","EBV__2dpi__HD3","EBV-Lin__2dpi__HD3","hiEBV__2dpi__HD3","hiEBV-Lin__2dpi__HD3","CPG__2dpi__HD3","CPG-Lin__2dpi__HD3","BCR__2dpi__HD3","BCR-Lin__2dpi__HD3","EBV__0dpi__HD4","EBV__2dpi__HD4","EBV-Lin__2dpi__HD4","hiEBV__2dpi__HD4","hiEBV-Lin__2dpi__HD4","CPG__2dpi__HD4","CPG-Lin__2dpi__HD4","BCR__2dpi__HD4","BCR-Lin__2dpi__HD4"
"ENSG00000162493",8.74243385405859,6.61641593855784,7.65805925863221,7.23655559812411,8.62738627701801,8.89080192405686,10.0654778408921,9.61874479055662,10.1045071896557,9.41787809093666,7.11270222989043,8.00135491267401,7.19427091450074,7.52403309962031,10.2556349562201,9.1330796127683,10.3036085581024,8.61465607388521,7.12240701043544,7.37198612155857,7.61796698431283,8.24242010818064,9.49576196684428,9.60782610176082,9.64150372465378,9.84585457992046,8.05751317352746,7.09063599839905,9.58987048249935,7.37103348215261,8.39635915504513,8.68397582967668,9.84659483976816,8.40304119141437,10.1213585190692
"ENSG00000163545",13.4925115901259,10.4625082021344,9.41991525530697,12.4321074580586,12.8912710810441,12.5346099609823,12.7053795974354,12.847078410615,12.4651596672119,12.950459299495,10.8731203718064,10.3360690048512,12.595779124473,12.4674817396159,12.7811140572068,12.5874791530424,12.5200894476557,13.636658547964,10.6989823523076,9.57881072559027,12.8319275290508,12.5267653953522,12.7786740481151,12.4006059095781,12.5161177838405,12.281998931116,12.7208966804229,10.4511406092081,10.0807094578633,12.6304669089627,12.8515534759181,12.4337944750669,12.6181222572859,12.8163081476002,12.6475492105866
"ENSG00000163659",11.9284685359213,12.0634617737137,12.9435705701095,11.7406999615694,12.0833751746946,11.4969616795746,12.518903651181,11.7737817516113,12.4561612062373,11.6299766310249,11.979246939767,12.5713521924751,12.1427614188835,11.7651790134739,12.7085354103357,11.5816777324153,12.5149455990581,12.0273254265243,11.9641156136406,12.8556037089935,12.0185719702495,12.1983910015126,11.674958312974,12.3591677097341,11.529099354518,12.3781512064663,11.6422594040014,12.3317134072308,12.9453509544442,12.1817765617309,12.137071434865,11.9554449338661,12.489931115148,11.7339903935665,11.5878460997599
"ENSG00000164124",8.62031853101906,6.8177244132904,5.95839504262597,7.20617068808618,6.76189641818647,7.05943805665856,7.26161575493011,7.0686851050578,6.72251413745263,8.36315806316982,6.64075562580649,6.28795197371721,7.4535923571757,7.10904573501243,6.50949337171799,7.40976601182619,6.65002188140278,8.76233157854846,6.87573521703491,5.85922194102179,7.12929408226472,6.51181551097911,7.36473549677055,6.89931990646065,7.25412942654337,6.82017498768364,7.13177492431177,6.98827819664436,6.19313808479605,7.79105406692463,7.27793982299716,6.96420883688081,6.64305425382437,7.71212021927465,6.77518974165339
"ENSG00000166881",12.6080971241359,13.5245013641417,12.8721474196317,12.7945179985554,12.5299079316613,12.6863925368435,12.4565150263214,12.8600112736231,12.8758065628358,12.6477586752625,13.2001558942961,12.7296251869117,12.9020757036757,12.9683763598648,12.1480066193846,13.1449303377465,12.6660909897467,12.4323239132656,13.2870378429041,12.8487448954632,12.6431096437796,12.4653717778328,12.6952054712853,12.808506627323,12.9943194109854,13.0332776549108,12.701138784602,13.5181620197383,13.0508718218953,12.6810775108758,12.707345542172,12.7740338139281,12.4125597631685,12.810100185056,12.5526077963138
"ENSG00000166949",13.9188336955768,12.3969006855239,13.3475518706003,13.9399018468162,14.8121498747671,13.4947156486187,14.4273365699911,13.8009398150119,14.2222716168013,13.9040086420312,12.670254489969,13.3938311743905,14.0167569159943,13.7097598856431,14.6579904294059,13.8064374616271,14.38371799979,13.9365819888304,12.5007932077223,13.4408077257148,13.8498207251001,14.9041038563042,13.4386315109171,14.4668783014856,13.6531032438355,14.1698810637975,14.0304254487623,12.5455859010575,13.1600294623685,13.9948660626282,14.5787210111785,13.7624790113252,14.5574632182786,13.6910099420401,14.0400215660686
"ENSG00000169032",12.9353634443098,13.2634910012836,12.4345810492461,12.6488675652621,12.4118517181037,12.8636691394053,12.4889844424239,12.4646813807982,12.1995511125063,12.5383586959549,13.1176622609414,12.7378168839192,12.6634900970855,12.8096395162012,12.7832854960276,12.4849903946775,11.9412374137162,12.938695493592,13.1320885022935,12.5637966098271,12.4750726753458,12.3219196192684,13.0573264242037,12.4010713818089,12.6175703988184,12.2034997481814,12.6483484586505,13.0905832832127,12.6226475975096,12.4129390383046,12.005843433424,13.0861760162271,12.6574958314597,12.6166227899512,12.5703844045997
"ENSG00000169439",10.3976981315608,9.56806542831464,10.8593123118535,10.272431776187,13.5501947310892,9.09115378487376,11.5851707401536,11.09881080569,12.9894950032429,10.5019075132603,9.85551237869997,10.8882073547699,10.3119942204985,8.81267900382539,13.0639410856308,11.4054442809048,13.5268321294905,10.1314947619347,9.08278700798616,10.5320069502436,10.339583271087,12.6924786089915,10.2159089769579,12.6908205378746,10.583746578473,13.1435060194169,9.91739999172635,10.386528679883,12.6045187369804,9.90548915743234,13.0887059512953,9.48904755237057,11.9619864725402,9.61927669086425,12.4393794798729
"ENSG00000169507",9.42466690001828,6.83503856302075,7.48506949539102,7.81091678592474,8.88789059561567,8.37916353909038,9.38406349016508,8.22743333439055,9.02893799036185,9.36192117297601,7.05985890392544,7.83803528800574,7.55217356384387,8.18878545418767,9.01655800539287,8.70640204970694,9.35464840105332,9.7902496761,6.13423056941868,7.82638417928086,8.60433297555051,8.78323190444926,8.45743212757595,9.21868569397079,7.87232676188932,8.77630680574296,8.37800215086298,7.31149126768004,7.75521952462914,8.49880132971368,9.0905602418434,8.02366419791915,9.00280244133828,8.5702663729671,8.83237316702457
"ENSG00000170439",6.77689386263623,5.64573757205654,6.30719823897358,6.91613941172686,7.72081095809759,6.33377461692376,6.43216665665756,7.15131669192573,6.91452180982434,6.6967826360348,6.55832619356151,6.64226814162384,6.42271349560178,6.61275985120249,6.84908424674458,6.65909984194673,7.06879654334843,6.64823575350936,6.10702936816331,6.66308395611716,7.02277104493833,7.30769174688996,6.61256972555676,6.65111245063788,6.73286890058201,6.45319687242742,6.30118856778659,5.0853663980217,6.86727587235847,7.06349679268088,7.66726389203335,5.86110421367411,6.86669029007417,6.60698555301344,7.87918823917949
